﻿Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,366.0294,NA,0.45790000000000,6.93430000000000,0.25010000000000,1.48470000000000,12.2256,365.9711,0.3084,0.0583,0.2501,1.0593,0.4837,0.4755,0.0082,34.5151,365.9711,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,373.0277,NA,76.67440000000001,76.41459999999999,0.00000000000000,0.45820000000000,5.2258,296.3533,76.6744,76.6744,0.0000,0.5069,76.6257,1.1422,75.4835,124.7361,296.3533,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,378.8527,NA,12.82330000000000,6.94310000000000,0.27150000000000,1.81600000000000,6.3454,366.2795,12.8447,12.5732,0.2715,1.7774,12.6118,2.4255,10.1863,-6.6347,366.2795,NA,8.3195,8.3195
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,403.5205,NA,24.66780000000000,27.77080000000000,0.26300000000000,4.27420000000000,9.4484,379.1242,24.6593,24.3963,0.2630,1.5445,27.1260,4.1612,22.9648,-14.9261,379.1242,NA,16.1025,16.1025
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,403.8203,NA,0.29980000000000,6.96250000000000,0.16770000000000,4.63340000000000,16.1111,403.7835,0.2045,0.0368,0.1677,4.0112,0.6590,0.6456,0.0134,17.6968,403.7835,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,450.0258,NA,46.20550000000000,34.71280000000000,0.51280000000000,1.77110000000000,4.6184,403.9880,46.5506,46.0378,0.5128,46.2078,1.6011,1.6011,0.0000,-34.5083,403.9880,NA,9.7738,9.7738
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,400.5535,NA,27.52580000000000,27.77100000000000,0.00000000000000,0.45610000000000,5.4710,373.0277,27.5258,27.5258,0.0000,0.4582,27.5237,1.1329,26.3908,48.9034,373.0277,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,450.5798,NA,0.55400000000000,6.94840000000000,0.17100000000000,1.71570000000000,11.0128,450.5386,0.2122,0.0412,0.1710,1.2583,0.4986,0.4824,0.0162,39.6022,450.5386,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,493.8797,NA,43.29990000000000,34.71090000000000,0.45670000000000,1.71470000000000,2.4238,450.7508,43.5856,43.1289,0.4567,43.2649,1.5787,1.5787,0.0000,-34.4987,450.7508,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,494.3757,NA,0.49600000000000,6.95410000000000,0.19950000000000,1.71580000000000,8.8819,494.3364,0.2388,0.0393,0.1995,1.2580,0.4971,0.4879,0.0092,36.6315,494.3364,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,539.8160,NA,45.44030000000000,41.70560000000000,0.28070000000000,1.37850000000000,5.1472,494.5752,45.5215,45.2408,0.2807,45.3535,1.2658,1.2658,0.0000,-41.4668,494.5752,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,540.1359,NA,0.31990000000000,6.95520000000000,0.18460000000000,1.55330000000000,11.7825,540.0967,0.2238,0.0392,0.1846,1.0978,0.4947,0.4789,0.0158,38.5663,540.0967,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,577.2631,NA,37.12720000000000,27.74440000000000,0.48310000000000,1.77230000000000,2.3997,540.3205,37.4257,36.9426,0.4831,37.1015,1.6134,1.6134,0.0000,-27.5206,540.3205,NA,NA,NA
