Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,398.0410,NA,30.89840000000000,20.75400000000000,0.39680000000000,1.56210000000000,2.7128,367.9956,30.4422,30.0454,0.3968,30.1309,1.4766,1.4766,0.0000,-13.8258,367.9956,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,318.5037,NA,7.19670000000000,6.90760000000000,0.00000000000000,2.97970000000000,5.8157,311.3070,7.1967,7.1967,0.0000,5.0482,5.1282,3.5982,1.5300,158.8823,311.3070,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,398.4839,NA,0.44290000000000,6.93160000000000,0.19400000000000,1.69560000000000,9.2015,398.4378,0.2401,0.0461,0.1940,1.1653,0.5764,0.5606,0.0158,23.5106,398.4378,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,435.0194,NA,36.53550000000000,34.78110000000000,0.24740000000000,2.17460000000000,7.4471,398.6779,36.5889,36.3415,0.2474,36.4528,2.0633,2.0633,0.0000,-34.5410,398.6779,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,435.3053,NA,0.28590000000000,6.89870000000000,0.17900000000000,2.47540000000000,14.0599,435.2668,0.2175,0.0385,0.1790,1.9272,0.5867,0.5661,0.0206,29.6902,435.2668,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,478.1333,NA,42.82800000000000,34.70220000000000,0.45180000000000,1.60330000000000,5.9341,435.4843,43.1008,42.6490,0.4518,42.7697,1.4826,1.4826,0.0000,-34.4847,435.4843,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,478.6335,NA,0.50020000000000,6.92890000000000,0.23540000000000,1.65840000000000,12.3628,478.5851,0.2838,0.0484,0.2354,1.1515,0.5553,0.5444,0.0109,36.1719,478.5851,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,430.6027,NA,112.09900000000000,111.14530000000001,0.00000000000000,1.86890000000000,4.8620,318.5037,112.0990,112.0990,0.0000,2.9797,110.9882,2.7459,108.2423,-103.9486,318.5037,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,523.2461,NA,44.61260000000000,34.76590000000000,0.23100000000000,1.52750000000000,2.5161,478.8689,44.6082,44.3772,0.2310,42.0634,3.8413,2.4683,1.3730,-34.4821,478.8689,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,523.5144,NA,0.26830000000000,6.98440000000000,0.16140000000000,1.84080000000000,9.2322,523.4771,0.1987,0.0373,0.1614,1.2965,0.5816,0.5625,0.0191,37.6238,523.4771,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,565.7103,NA,42.19590000000000,34.71480000000000,0.42550000000000,1.71950000000000,1.7511,523.6758,42.4600,42.0345,0.4255,42.1450,1.6090,1.6090,0.0000,-34.5161,523.6758,NA,NA,NA
